NewLocationID,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,Problem4_from,Problem4_to,Problem5_from,Problem5_to,Problem6_from,Problem6_to,Problem7_from,Problem7_to,Problem8_from,Problem8_to
GMU10A_P_87,5/23/2020,10/13/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_88,5/20/2020,10/7/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_89,6/7/2020,10/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_9,7/2/2020,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_91,5/20/2020,9/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_92,5/20/2020,10/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_93,6/4/2020,10/6/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_94,5/20/2020,10/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_95,5/28/2020,10/14/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_96,5/20/2020,9/18/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_97,6/25/2020,9/23/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_98,7/2/2020,10/12/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_P_99,6/6/2020,10/20/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_10,5/20/2020,9/15/2020,6/12/2020,9/15/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_100,5/20/2020,8/6/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_101,7/22/2020,10/25/2020,8/2/2020,10/25/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_102,6/6/2020,10/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_103,7/14/2020,1/11/2021,7/16/2020,1/11/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_104,5/27/2020,9/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_105,5/29/2020,10/2/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_107,6/3/2020,10/18/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_108,5/27/2020,10/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_109,6/3/2020,9/25/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_11,5/20/2020,9/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_110,5/2/2020,8/29/2020,5/2/2020,5/20/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_111,7/17/2020,10/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_112,7/13/2020,11/4/2020,7/16/2020,7/27/2020,9/9/2020,11/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_113,7/4/2020,10/7/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_116,7/5/2020,10/27/2020,9/19/2020,9/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_117,7/21/2020,10/21/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_118,5/24/2020,9/17/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_119,8/4/2020,9/17/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_12,5/13/2020,9/22/2020,5/13/2020,5/20/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_120,7/6/2020,10/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_121,5/25/2020,10/2/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_122,6/15/2020,11/2/2020,10/23/2020,10/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_123,5/20/2020,9/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_125,7/25/2020,10/8/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_127,7/9/2020,10/26/2020,9/12/2020,10/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_128,6/16/2020,8/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_129,5/11/2020,6/30/2020,5/11/2020,5/20/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_13,5/17/2020,10/8/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_130,7/25/2020,9/21/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_131,5/20/2020,11/6/2020,7/15/2020,7/15/2020,7/17/2020,7/20/2020,10/1/2020,10/2/2020,10/4/2020,10/5/2020,10/7/2020,10/9/2020,10/17/2020,10/18/2020,10/24/2020,10/25/2020,NA,NA
GMU10A_U_132,6/17/2020,10/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_133,7/10/2020,9/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_134,7/23/2020,10/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_135,7/22/2020,9/11/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_136,7/18/2020,11/5/2020,7/22/2020,11/1/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_137,7/18/2020,10/19/2020,9/16/2020,10/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_138,7/31/2020,11/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_139,7/4/2020,9/18/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_14,5/20/2020,11/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_140,7/15/2020,10/13/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_141,7/23/2020,10/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_142,7/13/2020,11/4/2020,7/29/2020,7/31/2020,8/2/2020,11/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_143,5/20/2020,10/14/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_144,5/20/2020,11/5/2020,7/19/2020,9/23/2020,10/23/2020,10/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_146,7/2/2020,9/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_147,7/14/2020,11/2/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_148,7/4/2020,9/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_149,7/28/2020,10/16/2020,8/6/2020,10/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_15,6/5/2020,10/14/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_150,5/20/2020,10/18/2020,7/2/2020,10/18/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_151,7/19/2020,10/19/2020,10/11/2020,10/12/2020,10/16/2020,10/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_153,7/10/2020,9/28/2020,8/27/2020,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_154,7/2/2020,9/15/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_155,7/4/2020,11/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_157,7/30/2020,9/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_158,5/20/2020,10/26/2020,7/25/2020,10/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_159,7/12/2020,10/15/2020,8/24/2020,8/25/2020,8/31/2020,9/1/2020,9/6/2020,9/9/2020,9/11/2020,9/14/2020,9/18/2020,9/27/2020,9/30/2020,10/6/2020,10/8/2020,10/11/2020,10/14/2020,10/15/2020
GMU10A_U_16,5/20/2020,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_160,7/4/2020,10/16/2020,7/4/2020,10/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_162,7/21/2020,9/21/2020,8/29/2020,8/31/2020,9/5/2020,9/7/2020,9/12/2020,9/13/2020,9/15/2020,9/21/2020,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_164,7/17/2020,10/15/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_165,7/30/2020,10/8/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_166,7/15/2020,9/17/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_167,7/24/2020,9/17/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_169,7/31/2020,10/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_17,5/20/2020,11/4/2020,7/26/2020,7/27/2020,8/30/2020,8/31/2020,9/12/2020,11/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_170,7/29/2020,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_171,7/27/2020,8/19/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_172,8/2/2020,10/16/2020,8/5/2020,10/16/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_18,7/1/2020,9/3/2020,8/23/2020,9/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_20,5/26/2020,10/23/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_21,7/29/2020,10/8/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_22,5/24/2020,11/1/2020,6/12/2020,11/1/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_23,5/21/2020,9/12/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_24,5/20/2020,10/29/2020,9/21/2020,9/22/2020,9/24/2020,9/24/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_25,5/16/2020,10/2/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_26,7/8/2020,11/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_27,5/20/2020,10/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_28,5/20/2020,10/14/2020,5/24/2020,10/14/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_29,5/20/2020,9/11/2020,5/27/2020,9/11/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMU10A_U_30,5/20/2020,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
